"","Salary","Born","City","Cntry","Nat","Ht","Wt","DftYr","DftRd","Ovrl","Hand","Last.Name","First.Name","Position","Team","GP","G","A","A1","A2","PTS","Nat_Group"
"853",925000,"00-06-01","Stratford","CAN","CAN",73,198,2014,1,24,"L","McCann","Jared","C","FLA",29,1,6,6,0,7,"CAN"
"854",6e+06,"90-04-22","Ostersund","SWE","SWE",75,214,2004,3,91,"L","Edler","Alex","D","VAN",68,6,15,7,8,21,"Others"
"855",7e+06,"84-09-27","Ornskoldsvik","SWE","SWE",74,183,1999,1,3,"L","Sedin","Henrik","C","VAN",82,15,35,13,22,50,"Others"
"856",925000,"00-05-13","Massapequa","USA","USA",74,197,2014,1,16,"L","Milano","Sonny","LW","CBJ",4,0,0,0,0,0,"USA"
"857",925000,"96-04-14","Raahe","FIN","FIN",72,190,2010,4,99,"R","Donskoi","Joonas","RW","S.J",61,6,11,5,6,17,"Others"
"858",650000,"96-01-22","Winnipeg","CAN","CAN",74,189,2010,1,25,"L","Howden","Quinton","C/LW/C","WPG",5,0,0,0,0,0,"CAN"
"859",6e+05,"95-12-07","Richmond Hill","CAN","CAN",77,214,2010,3,87,"L","Melchiori","Julian","D","WPG",18,0,2,1,1,2,"CAN"
"860",767500,"00-06-13","Linkoping","SWE","SWE",72,186,2014,5,126,"L","Forsling","Gustav","D","CHI",38,2,3,2,1,5,"Others"
"861",650000,"96-04-16","North Vancouver","CAN","CAN",70,179,2010,3,70,"R","Weal","Jordan","C/LW","PHI",23,8,4,2,2,12,"CAN"
"862",1e+07,"89-05-17","Peterborough","CAN","CAN",75,210,2003,1,28,"R","Perry","Corey","RW","ANA",82,19,34,21,13,53,"CAN"
"863",6e+05,"95-09-03","Regina","CAN","CAN",71,198,2009,6,175,"R","Mitchell","Garrett","RW","WSH",1,0,0,0,0,0,"CAN"
"864",8e+05,"95-09-07","Biddeford","USA","USA",76,207,2009,2,51,"L","Dumoulin","Brian","D","PIT",70,1,14,7,7,15,"USA"
"865",575000,"98-08-07","London","CAN","CAN",74,188,2012,4,110,"L","Athanasiou","Andreas","C","DET",64,18,11,5,6,29,"CAN"
"866",925000,"01-01-26","Boston","USA","USA",75,206,2015,1,5,"L","Hanifin","Noah","D","CAR",81,4,25,16,9,29,"USA"
"867",832500,"99-03-03","Winnipeg","CAN","CAN",70,198,2013,1,12,"L","Domi","Max","LW/C","ARI",59,9,29,19,10,38,"CAN"
"868",1e+06,"80-11-03","Virginia","USA","USA",73,200,1996,2,35,"L","Cullen","Matt","C/LW","PIT",72,13,18,10,8,31,"USA"
"869",8e+06,"89-07-18","Gothenburg","SWE","SWE",74,196,2003,2,33,"L","Eriksson","Loui","LW/C","VAN",65,11,13,10,3,24,"Others"
"870",632500,"97-03-11","Kingston","CAN","CAN",74,219,2011,2,54,"L","Harrington","Scott","D","CBJ",22,1,2,0,2,3,"CAN"
"871",6e+05,"95-01-30","Denver","USA","USA",75,205,2009,2,44,"R","Shore","Drew","C","VAN",14,0,2,2,0,2,"USA"
"872",5500000,"97-06-18","Toronto","CAN","CAN",78,210,2011,1,9,"R","Hamilton","Dougie","D","CGY",81,13,37,17,20,50,"CAN"
"873",832500,"98-09-21","Hilton Head Isl.","USA","USA",72,181,2013,1,30,"R","Hartman","Ryan","LW/RW","CHI",76,19,12,8,4,31,"USA"
"874",7e+06,"91-03-18","Cherry Hill","USA","USA",74,204,2005,1,2,"R","Ryan","Bobby","RW/LW","OTT",62,13,12,8,4,25,"USA"
